Strategy B for N = 1000
29,2.90%
8,0.80%
20,2.00%
17,1.70%
26,2.60%
22,2.20%
16,1.60%
24,2.40%
17,1.70%
23,2.30%
53,5.30%
23,2.30%
21,2.10%
15,1.50%
19,1.90%
26,2.60%
29,2.90%
23,2.30%
20,2.00%
29,2.90%
23,2.30%
24,2.40%
17,1.70%
24,2.40%
30,3.00%
28,2.80%
22,2.20%
27,2.70%
21,2.10%
22,2.20%
24,2.40%
22,2.20%
27,2.70%
17,1.70%
24,2.40%
20,2.00%
18,1.80%
14,1.40%
26,2.60%
33,3.30%
Strategy B for N = 10000
265,2.65%
175,1.75%
176,1.76%
186,1.86%
201,2.01%
241,2.41%
189,1.89%
182,1.82%
193,1.93%
204,2.04%
547,5.47%
229,2.29%
224,2.24%
186,1.86%
213,2.13%
216,2.16%
255,2.55%
266,2.66%
268,2.68%
246,2.46%
235,2.35%
219,2.19%
227,2.27%
234,2.34%
281,2.81%
261,2.61%
241,2.41%
214,2.14%
234,2.34%
222,2.22%
228,2.28%
248,2.48%
207,2.07%
235,2.35%
222,2.22%
174,1.74%
183,1.83%
198,1.98%
195,1.95%
234,2.34%
Strategy B for N = 100000
2577,2.58%
1823,1.82%
1847,1.85%
1859,1.86%
1917,1.92%
2512,2.51%
1989,1.99%
1995,1.99%
1891,1.89%
1868,1.87%
5308,5.31%
2321,2.32%
2198,2.20%
2028,2.03%
2125,2.13%
2471,2.47%
2349,2.35%
2485,2.49%
2499,2.50%
2620,2.62%
2508,2.51%
2379,2.38%
2355,2.36%
2344,2.34%
2726,2.73%
2591,2.59%
2351,2.35%
2187,2.19%
2429,2.43%
2213,2.21%
2214,2.21%
2251,2.25%
2223,2.22%
2348,2.35%
2068,2.07%
2050,2.05%
1978,1.98%
1889,1.89%
1893,1.89%
2267,2.27%
Strategy B for N = 1000000
26053,2.61%
18215,1.82%
18068,1.81%
18328,1.83%
19546,1.95%
25035,2.50%
19047,1.90%
19386,1.94%
19718,1.97%
19438,1.94%
52729,5.27%
22844,2.28%
21962,2.20%
